# (1) ID
# (2) File
# (3) Description
# (4) Type
# (5) units
114,map.CS.NAME_NORM_113_ssp.fits.gz,Luminosity Fraction for age-met 1.1220-0.0076 SSP, flux, fraction
115,map.CS.NAME_NORM_114_ssp.fits.gz,Luminosity Fraction for age-met 1.1220-0.0190 SSP, flux, fraction
116,map.CS.NAME_NORM_115_ssp.fits.gz,Luminosity Fraction for age-met 1.1220-0.0315 SSP, flux, fraction
117,map.CS.NAME_NORM_116_ssp.fits.gz,Luminosity Fraction for age-met 12.5893-0.0037 SSP, flux, fraction
118,map.CS.NAME_NORM_117_ssp.fits.gz,Luminosity Fraction for age-met 12.5893-0.0076 SSP, flux, fraction
119,map.CS.NAME_NORM_118_ssp.fits.gz,Luminosity Fraction for age-met 12.5893-0.0190 SSP, flux, fraction
120,map.CS.NAME_NORM_119_ssp.fits.gz,Luminosity Fraction for age-met 12.5893-0.0315 SSP, flux, fraction
121,map.CS.NAME_NORM_120_ssp.fits.gz,Luminosity Fraction for age-met 1.2589-0.0037 SSP, flux, fraction
122,map.CS.NAME_NORM_121_ssp.fits.gz,Luminosity Fraction for age-met 1.2589-0.0076 SSP, flux, fraction
123,map.CS.NAME_NORM_122_ssp.fits.gz,Luminosity Fraction for age-met 1.2589-0.0190 SSP, flux, fraction
124,map.CS.NAME_NORM_123_ssp.fits.gz,Luminosity Fraction for age-met 1.2589-0.0315 SSP, flux, fraction
125,map.CS.NAME_NORM_124_ssp.fits.gz,Luminosity Fraction for age-met 14.1254-0.0037 SSP, flux, fraction
126,map.CS.NAME_NORM_125_ssp.fits.gz,Luminosity Fraction for age-met 14.1254-0.0076 SSP, flux, fraction
127,map.CS.NAME_NORM_126_ssp.fits.gz,Luminosity Fraction for age-met 14.1254-0.0190 SSP, flux, fraction
128,map.CS.NAME_NORM_127_ssp.fits.gz,Luminosity Fraction for age-met 14.1254-0.0315 SSP, flux, fraction
129,map.CS.NAME_NORM_128_ssp.fits.gz,Luminosity Fraction for age-met 1.4125-0.0037 SSP, flux, fraction
130,map.CS.NAME_NORM_129_ssp.fits.gz,Luminosity Fraction for age-met 1.4125-0.0076 SSP, flux, fraction
131,map.CS.NAME_NORM_130_ssp.fits.gz,Luminosity Fraction for age-met 1.4125-0.0190 SSP, flux, fraction
132,map.CS.NAME_NORM_131_ssp.fits.gz,Luminosity Fraction for age-met 1.4125-0.0315 SSP, flux, fraction
133,map.CS.NAME_NORM_132_ssp.fits.gz,Luminosity Fraction for age-met 1.9953-0.0037 SSP, flux, fraction
134,map.CS.NAME_NORM_133_ssp.fits.gz,Luminosity Fraction for age-met 1.9953-0.0076 SSP, flux, fraction
135,map.CS.NAME_NORM_134_ssp.fits.gz,Luminosity Fraction for age-met 1.9953-0.0190 SSP, flux, fraction
136,map.CS.NAME_NORM_135_ssp.fits.gz,Luminosity Fraction for age-met 1.9953-0.0315 SSP, flux, fraction
137,map.CS.NAME_NORM_136_ssp.fits.gz,Luminosity Fraction for age-met 2.5119-0.0037 SSP, flux, fraction
138,map.CS.NAME_NORM_137_ssp.fits.gz,Luminosity Fraction for age-met 2.5119-0.0076 SSP, flux, fraction
139,map.CS.NAME_NORM_138_ssp.fits.gz,Luminosity Fraction for age-met 2.5119-0.0190 SSP, flux, fraction
140,map.CS.NAME_NORM_139_ssp.fits.gz,Luminosity Fraction for age-met 2.5119-0.0315 SSP, flux, fraction
141,map.CS.NAME_NORM_140_ssp.fits.gz,Luminosity Fraction for age-met 3.5481-0.0037 SSP, flux, fraction
142,map.CS.NAME_NORM_141_ssp.fits.gz,Luminosity Fraction for age-met 3.5481-0.0076 SSP, flux, fraction
143,map.CS.NAME_NORM_142_ssp.fits.gz,Luminosity Fraction for age-met 3.5481-0.0190 SSP, flux, fraction
144,map.CS.NAME_NORM_143_ssp.fits.gz,Luminosity Fraction for age-met 3.5481-0.0315 SSP, flux, fraction
145,map.CS.NAME_NORM_144_ssp.fits.gz,Luminosity Fraction for age-met 4.4668-0.0037 SSP, flux, fraction
146,map.CS.NAME_NORM_145_ssp.fits.gz,Luminosity Fraction for age-met 4.4668-0.0076 SSP, flux, fraction
147,map.CS.NAME_NORM_146_ssp.fits.gz,Luminosity Fraction for age-met 4.4668-0.0190 SSP, flux, fraction
148,map.CS.NAME_NORM_147_ssp.fits.gz,Luminosity Fraction for age-met 4.4668-0.0315 SSP, flux, fraction
149,map.CS.NAME_NORM_148_ssp.fits.gz,Luminosity Fraction for age-met 6.3096-0.0037 SSP, flux, fraction
150,map.CS.NAME_NORM_149_ssp.fits.gz,Luminosity Fraction for age-met 6.3096-0.0076 SSP, flux, fraction
151,map.CS.NAME_NORM_150_ssp.fits.gz,Luminosity Fraction for age-met 6.3096-0.0190 SSP, flux, fraction
152,map.CS.NAME_NORM_151_ssp.fits.gz,Luminosity Fraction for age-met 6.3096-0.0315 SSP, flux, fraction
153,map.CS.NAME_NORM_152_ssp.fits.gz,Luminosity Fraction for age-met 7.9433-0.0037 SSP, flux, fraction
154,map.CS.NAME_NORM_153_ssp.fits.gz,Luminosity Fraction for age-met 7.9433-0.0076 SSP, flux, fraction
155,map.CS.NAME_NORM_154_ssp.fits.gz,Luminosity Fraction for age-met 7.9433-0.0190 SSP, flux, fraction
156,map.CS.NAME_NORM_155_ssp.fits.gz,Luminosity Fraction for age-met 7.9433-0.0315 SSP, flux, fraction
157,map.CS.NAME_00.0010_NORM_age.fits.gz,Luminosity Fraction for age 0.0010 SSP, flux, fraction
158,map.CS.NAME_00.0030_NORM_age.fits.gz,Luminosity Fraction for age 0.0030 SSP, flux, fraction
159,map.CS.NAME_00.0040_NORM_age.fits.gz,Luminosity Fraction for age 0.0040 SSP, flux, fraction
160,map.CS.NAME_00.0056_NORM_age.fits.gz,Luminosity Fraction for age 0.0056 SSP, flux, fraction
161,map.CS.NAME_00.0089_NORM_age.fits.gz,Luminosity Fraction for age 0.0089 SSP, flux, fraction
162,map.CS.NAME_00.0100_NORM_age.fits.gz,Luminosity Fraction for age 0.0100 SSP, flux, fraction
163,map.CS.NAME_00.0126_NORM_age.fits.gz,Luminosity Fraction for age 0.0126 SSP, flux, fraction
164,map.CS.NAME_00.0141_NORM_age.fits.gz,Luminosity Fraction for age 0.0141 SSP, flux, fraction
165,map.CS.NAME_00.0178_NORM_age.fits.gz,Luminosity Fraction for age 0.0178 SSP, flux, fraction
166,map.CS.NAME_00.0199_NORM_age.fits.gz,Luminosity Fraction for age 0.0199 SSP, flux, fraction
167,map.CS.NAME_00.0251_NORM_age.fits.gz,Luminosity Fraction for age 0.0251 SSP, flux, fraction
168,map.CS.NAME_00.0316_NORM_age.fits.gz,Luminosity Fraction for age 0.0316 SSP, flux, fraction
169,map.CS.NAME_00.0398_NORM_age.fits.gz,Luminosity Fraction for age 0.0398 SSP, flux, fraction
170,map.CS.NAME_00.0562_NORM_age.fits.gz,Luminosity Fraction for age 0.0562 SSP, flux, fraction
171,map.CS.NAME_00.0630_NORM_age.fits.gz,Luminosity Fraction for age 0.0630 SSP, flux, fraction
172,map.CS.NAME_00.0631_NORM_age.fits.gz,Luminosity Fraction for age 0.0631 SSP, flux, fraction
173,map.CS.NAME_00.0708_NORM_age.fits.gz,Luminosity Fraction for age 0.0708 SSP, flux, fraction
174,map.CS.NAME_00.1000_NORM_age.fits.gz,Luminosity Fraction for age 0.1000 SSP, flux, fraction
175,map.CS.NAME_00.1122_NORM_age.fits.gz,Luminosity Fraction for age 0.1122 SSP, flux, fraction
176,map.CS.NAME_00.1259_NORM_age.fits.gz,Luminosity Fraction for age 0.1259 SSP, flux, fraction
177,map.CS.NAME_00.1585_NORM_age.fits.gz,Luminosity Fraction for age 0.1585 SSP, flux, fraction
178,map.CS.NAME_00.1995_NORM_age.fits.gz,Luminosity Fraction for age 0.1995 SSP, flux, fraction
179,map.CS.NAME_00.2818_NORM_age.fits.gz,Luminosity Fraction for age 0.2818 SSP, flux, fraction
180,map.CS.NAME_00.3548_NORM_age.fits.gz,Luminosity Fraction for age 0.3548 SSP, flux, fraction
181,map.CS.NAME_00.5012_NORM_age.fits.gz,Luminosity Fraction for age 0.5012 SSP, flux, fraction
182,map.CS.NAME_00.7079_NORM_age.fits.gz,Luminosity Fraction for age 0.7079 SSP, flux, fraction
183,map.CS.NAME_00.8913_NORM_age.fits.gz,Luminosity Fraction for age 0.8913 SSP, flux, fraction
184,map.CS.NAME_01.1220_NORM_age.fits.gz,Luminosity Fraction for age 01.1220 SSP, flux, fraction
185,map.CS.NAME_01.2589_NORM_age.fits.gz,Luminosity Fraction for age 01.2589 SSP, flux, fraction
186,map.CS.NAME_01.4125_NORM_age.fits.gz,Luminosity Fraction for age 01.4125 SSP, flux, fraction
187,map.CS.NAME_01.9953_NORM_age.fits.gz,Luminosity Fraction for age 01.9953 SSP, flux, fraction
188,map.CS.NAME_02.5119_NORM_age.fits.gz,Luminosity Fraction for age 02.5119 SSP, flux, fraction
189,map.CS.NAME_03.5481_NORM_age.fits.gz,Luminosity Fraction for age 03.5481 SSP, flux, fraction
190,map.CS.NAME_04.4668_NORM_age.fits.gz,Luminosity Fraction for age 04.4668 SSP, flux, fraction
191,map.CS.NAME_06.3096_NORM_age.fits.gz,Luminosity Fraction for age 06.3096 SSP, flux, fraction
192,map.CS.NAME_07.9433_NORM_age.fits.gz,Luminosity Fraction for age 07.9433 SSP, flux, fraction
193,map.CS.NAME_10.0000_NORM_age.fits.gz,Luminosity Fraction for age 10.000 SSP, flux, fraction
194,map.CS.NAME_12.5893_NORM_age.fits.gz,Luminosity Fraction for age 12.5893 SSP, flux, fraction
195,map.CS.NAME_14.1254_NORM_age.fits.gz,Luminosity Fraction for age 14.1254 SSP, flux, fraction
196,map.CS.NAME_0.0037_NORM_met.fits.gz,Luminosity Fraction for met 0.0037 SSP, flux, fraction
197,map.CS.NAME_0.0076_NORM_met.fits.gz,Luminosity Fraction for met 0.0076 SSP, flux, fraction
198,map.CS.NAME_0.0190_NORM_met.fits.gz,Luminosity Fraction for met 0.0190 SSP, flux, fraction
199,map.CS.NAME_0.0315_NORM_met.fits.gz,Luminosity Fraction for met 0.0315 SSP, flux, fraction
